INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092A","13552","PAYLOAD","COSMOS 1408","CIS","1982-09-16","PKMTR","","93.33","82.57","453","421","","","0","LARGE","8481","1982","92","A","Y","COSMOS 1408","1982-092A","13552"
"1982-092AA","49537","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","95.59","82.56","649","446","","","0","MEDIUM","8481","1982","92","AA","Y","COSMOS 1408 DEB","1982-092AA","49537"
"1982-092AAA","50309","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-02-28","90.47","82.59","304","291","","","0","SMALL","8343","1982","92","AAA","Y","COSMOS 1408 DEB","1982-092AAA","50309"
"1982-092AAB","50310","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-16","87.53","82.66","153","151","","","0","SMALL","8246","1982","92","AAB","Y","COSMOS 1408 DEB","1982-092AAB","50310"
"1982-092AAC","50311","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-02-15","87.74","82.48","169","157","","","0","SMALL","8328","1982","92","AAC","Y","COSMOS 1408 DEB","1982-092AAC","50311"
"1982-092AAD","50312","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-02-28","87.99","82.49","182","168","","","0","SMALL","8343","1982","92","AAD","Y","COSMOS 1408 DEB","1982-092AAD","50312"
"1982-092AAE","50313","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-10-22","87.88","82.85","179","160","","","0","SMALL","8215","1982","92","AAE","Y","COSMOS 1408 DEB","1982-092AAE","50313"
"1982-092AAF","50314","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-01-10","89.60","83.22","266","243","","","0","SMALL","8291","1982","92","AAF","Y","COSMOS 1408 DEB","1982-092AAF","50314"
"1982-092AAG","50315","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-17","89.94","82.75","278","264","","","0","SMALL","8306","1982","92","AAG","Y","COSMOS 1408 DEB","1982-092AAG","50315"
"1982-092AAH","50316","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-03-07","87.74","82.48","171","154","","","0","SMALL","8346","1982","92","AAH","Y","COSMOS 1408 DEB","1982-092AAH","50316"
"1982-092AAJ","50317","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-06-14","89.51","82.48","259","242","","","0","SMALL","8092","1982","92","AAJ","Y","COSMOS 1408 DEB","1982-092AAJ","50317"
"1982-092AAK","50325","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-02-10","88.98","82.44","238","210","","","0","SMALL","8306","1982","92","AAK","Y","COSMOS 1408 DEB","1982-092AAK","50325"
"1982-092AAL","50326","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-03-07","88.60","82.51","219","192","","","0","SMALL","8346","1982","92","AAL","Y","COSMOS 1408 DEB","1982-092AAL","50326"
"1982-092AAM","50327","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2023-06-06","87.76","82.91","174","153","","","0","SMALL","8437","1982","92","AAM","Y","COSMOS 1408 DEB","1982-092AAM","50327"
"1982-092AAN","50328","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-01-18","90.22","82.35","295","276","","","0","SMALL","7946","1982","92","AAN","Y","COSMOS 1408 DEB","1982-092AAN","50328"
"1982-092AAP","50329","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.59","82.53","419","385","","","0","SMALL","8481","1982","92","AAP","Y","COSMOS 1408 DEB","1982-092AAP","50329"
"1982-092AAQ","50330","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-01-03","88.71","82.61","230","191","","","0","SMALL","8306","1982","92","AAQ","Y","COSMOS 1408 DEB","1982-092AAQ","50330"
"1982-092AAR","50331","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-06-19","91.55","82.94","364","337","","","0","SMALL","8306","1982","92","AAR","Y","COSMOS 1408 DEB","1982-092AAR","50331"
"1982-092AAS","50332","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2021-12-27","91.12","82.72","345","315","","","0","SMALL","8306","1982","92","AAS","Y","COSMOS 1408 DEB","1982-092AAS","50332"
"1982-092AAT","50333","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","2022-04-03","88.85","82.63","223","213","","","0","SMALL","8016","1982","92","AAT","Y","COSMOS 1408 DEB","1982-092AAT","50333"
